t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
30.000,0.98640,1,5.362e-10,1.060000,1.030000,1.004904,0.963997,1.042000,1.025000,1.037000,1.011233,0.970977,0.964607,0.983856,1.047000,1.029259,1.043000,1.009948,0.990644,1.014159,1.025855,0.984883,0.997510,0.000000,-0.047584,-0.129406,-0.109004,-0.087963,-0.017048,-0.107625,-0.124263,-0.017080,-0.177456,-0.154798,-0.059124,-0.067634,-0.076907,-0.039280,-0.190538,-0.059660,-0.115453,-0.046814,-0.070620
31.000,0.97281,1,9.694e-10,1.060000,1.030000,1.006548,0.965322,1.042000,1.025000,1.037000,1.012274,0.972950,0.967341,0.984635,1.047000,1.030392,1.043000,1.010443,0.991298,1.014720,1.026005,0.985515,0.998147,0.000000,-0.046826,-0.127380,-0.107342,-0.086635,-0.016401,-0.105945,-0.122475,-0.016421,-0.174608,-0.152130,-0.058138,-0.066122,-0.075627,-0.038546,-0.187629,-0.058663,-0.113639,-0.045754,-0.069427
32.000,0.96928,1,3.925e-12,1.060000,1.030000,1.006962,0.965699,1.042000,1.025000,1.037000,1.012544,0.973393,0.967977,0.984824,1.047000,1.030617,1.043000,1.010559,0.991484,1.014865,1.026047,0.985682,0.998321,0.000000,-0.046614,-0.126863,-0.106865,-0.086289,-0.016226,-0.105490,-0.122008,-0.016234,-0.173908,-0.151464,-0.057838,-0.065717,-0.075267,-0.038313,-0.186782,-0.058378,-0.113145,-0.045469,-0.069094
33.000,0.95767,1,4.908e-10,1.060000,1.030000,1.008349,0.966826,1.042000,1.025000,1.037000,1.013435,0.975080,0.970246,0.985492,1.047000,1.031603,1.043000,1.010989,0.992038,1.015336,1.026173,0.986227,0.998859,0.000000,-0.045964,-0.125145,-0.105443,-0.085194,-0.015669,-0.104114,-0.120473,-0.015674,-0.171551,-0.149162,-0.056990,-0.064449,-0.074240,-0.037760,-0.184294,-0.057584,-0.111663,-0.044557,-0.068139
34.000,0.94224,1,1.523e-09,1.060000,1.030000,1.010192,0.968347,1.042000,1.025000,1.037000,1.014623,0.977320,0.973240,0.986352,1.047000,1.032893,1.043000,1.011559,0.992781,1.015953,1.026329,0.986949,0.999554,0.000000,-0.045096,-0.122868,-0.103545,-0.083747,-0.014958,-0.102300,-0.118422,-0.014955,-0.168438,-0.146198,-0.055880,-0.062775,-0.072901,-0.037048,-0.180989,-0.056542,-0.109705,-0.043374,-0.066882
35.000,0.93523,1,6.983e-11,1.060000,1.030000,1.011046,0.969051,1.042000,1.025000,1.037000,1.015159,0.978306,0.974620,0.986737,1.047000,1.033459,1.043000,1.011806,0.993122,1.016243,1.026407,0.987284,0.999885,0.000000,-0.044697,-0.121814,-0.102673,-0.083072,-0.014638,-0.101450,-0.117493,-0.014630,-0.166994,-0.144862,-0.055375,-0.062030,-0.072262,-0.036682,-0.179475,-0.056053,-0.108793,-0.042834,-0.066290
36.000,0.92029,1,1.266e-09,1.060000,1.030000,1.012807,0.970502,1.042000,1.025000,1.037000,1.016275,0.980510,0.977517,0.987570,1.047000,1.034726,1.043000,1.012344,0.993826,1.016844,1.026559,0.987981,1.000563,0.000000,-0.043868,-0.119627,-0.100852,-0.081660,-0.013937,-0.099682,-0.115555,-0.013923,-0.163967,-0.141959,-0.054299,-0.060389,-0.070948,-0.035961,-0.176300,-0.055039,-0.106887,-0.041678,-0.065060
37.000,0.91228,1,1.160e-10,1.060000,1.030000,1.013778,0.971274,1.042000,1.025000,1.037000,1.016869,0.981638,0.978993,0.988009,1.047000,1.035367,1.043000,1.012636,0.994195,1.017169,1.026649,0.988367,1.000922,0.000000,-0.043427,-0.118425,-0.099903,-0.080999,-0.013563,-0.098886,-0.114522,-0.013544,-0.162483,-0.140419,-0.053756,-0.059526,-0.070412,-0.035748,-0.174677,-0.054675,-0.106052,-0.041052,-0.064573
38.000,0.89630,1,1.643e-09,1.060000,1.030000,1.015660,0.972831,1.042000,1.025000,1.037000,1.018078,0.983881,0.981989,0.988897,1.047000,1.036642,1.043000,1.013201,0.994943,1.017792,1.026804,0.989106,1.001663,0.000000,-0.042548,-0.116091,-0.097978,-0.079417,-0.012848,-0.096853,-0.112416,-0.012819,-0.159229,-0.137335,-0.052658,-0.057847,-0.068843,-0.034803,-0.171343,-0.053398,-0.103838,-0.039853,-0.063096
39.000,0.88454,1,4.790e-10,1.060000,1.030000,1.017045,0.973965,1.042000,1.025000,1.037000,1.018952,0.985588,0.984223,0.989526,1.047000,1.037628,1.043000,1.013619,0.995488,1.018253,1.026916,0.989657,1.002201,0.000000,-0.041897,-0.114373,-0.096549,-0.078267,-0.012332,-0.095394,-0.110889,-0.012302,-0.156831,-0.135130,-0.051837,-0.056619,-0.067734,-0.034155,-0.168856,-0.052507,-0.102256,-0.038977,-0.062052
